Price,Bedrooms,Bathrooms,GrossLivingArea,Lot_size,Year_built,Garage,Distance
799000,3,2,2106,6181,1965,2,3
1210000,4,4,3177,6969,2017,1,3
850000,4,2,1841,6534,1973,2,2
565000,3,2,1173,4007,1992,1,3
1340000,6,3,2900,9199,1972,2,2
970000,4,3,2642,8712,1994,0,3
1907000,5,4,3696,14810,1999,4,4
1760000,6,4,3734,10454,2005,3,4
720000,3,2,2394,8250,1952,1,1
785000,3,2.5,1839,3484,2013,2,4
857875,4,3,2235,7405,1973,2,2
651000,3,2,1470,8123,1952,2,1
901000,3,2,1684,5000,1999,2,3
735000,3,2,1498,8158,1962,2,1
651500,3,2,1062,4108,1978,1,3
1140000,4,2,2346,11761,1986,2,4
1000000,4,3,2783,6098,1992,2,3
640000,3,2,1245,4791,1998,1,2
977500,2,2,1200,12632,1966,2,4
620000,3,2,1234,8276,1962,2,2
1086000,4,3,2460,6969,1999,2,3
730500,4,2,1793,6272,1924,0,0
590000,3,1,1066,5924,1963,1,1
750000,4,3,2118,5227,1998,2,3
829000,3,2,1681,9147,1973,2,1
900000,3,3,2013,6098,1998,2,3
650000,3,2,1280,6577,1970,0,2
1350000,5,4,2598,10890,1990,3,2
1100000,3,3,1882,10798,1965,2,2
690000,3,3,1425,3484,1996,2,2
840000,3,2,2183,7405,2000,2,3
536000,3,1,1000,6708,1961,2,2
750000,3,2,1260,6969,1964,2,1
715000,3,2,1699,4791,1973,2,3
545000,4,2,1568,1255,1972,1,3
829000,3,2,2288,6534,1978,1,2
775000,3,2,1353,8189,1964,2,2
602000,2,3,1404,1306,2015,2,2
589000,3,2,1375,4599,1977,1,2
560000,3,2,1295,4713,1976,1,2
1002000,4,3,2025,9975,1973,2,4
825000,3,2,1485,6838,1951,1,1
519500,3,2,1062,4257,1978,1,3
670000,3,2,1234,5972,1966,2,2
565000,3,1,988,7474,1961,1,4
940000,5,2,2063,7405,1954,1,1
1200000,4,3,2503,9618,1990,3,3
845000,3,3,2042,5662,1998,3,2
776000,3,3,1751,2792,2013,2,2
582000,3,2,1144,3963,1983,2,2
925000,4,3,2568,20909,1961,1,3
2128000,4,3,4929,31799,1995,3,2
386000,1,1,712,2134,1984,1,3
745000,2,1,1009,5998,1942,1,0
605000,3,1,1005,12632,1952,1,1
560000,2,2,1790,1960,1983,2,2
951500,3,2,2129,7840,1991,2,3
765000,3,2,1504,7840,1989,3,2
680000,3,2,1725,8028,1973,2,3
655000,3,3,1531,3920,1997,2,3
565000,3,2,1146,4138,1992,1,3
1150000,3,2,2500,39640,1965,2,4
1425000,4,5,3506,6534,2021,0,2
588000,3,1,1000,6098,1966,2,2
930000,4,3,2217,6970,1993,3,2
803000,4,3,1799,5227,1995,2,3
610000,3,2,1155,6067,1961,2,1
1310000,4,3,2601,10384,1997,2,3
620000,3,2,1015,4673,1987,2,3
1300000,5,3.5,3696,10585,2000,3,4
499000,2,2,1056,3920,1973,2,1
1400000,4,3,3021,34412,1989,3,5
1711000,5,4,3365,12197,1992,3,2
740000,3,3,1739,2836,2011,2,3
905000,4,3,2138,10018,1973,4,4
440000,2,2,1119,1263,1991,1,3
830000,4,2,1428,6660,1977,2,3
700000,4,2,1592,7187,1980,2,3
960000,3,2,2306,6229,1987,0,2
1500000,4,4,3272,21344,1975,3,4
1325000,5,4,3527,11761,1961,4,1
1040000,4,3,2300,8842,1991,2,4
730000,3,2,1488,6098,1994,2,3
850000,5,2,1985,11761,1954,1,1
741000,3,2,1400,6756,1965,2,1
1505000,4,2,2721,15246,1978,2,3
600000,2,2,1356,3876,1977,1,2
580000,3,2,1234,6490,1977,0,3
652000,2,2,1138,7239,1949,1,1
797000,4,3,2029,4207,2005,2,2
716000,3,2,1640,9199,1975,2,2
600000,3,2,1466,4874,1977,1,3
646500,3,3,1581,1219,2016,2,2
689000,3,2,1805,7318,1978,0,2
1565000,4,4,3861,11761,1998,3,4
400000,3,2,1504,6141,1988,0,2
885000,3,2,2051,8041,1989,2,3
700000,3,3,1489,3484,1994,2,2
911500,4,3,2141,3484,2016,2,2
875000,4,3,2046,3920,2012,2,4
810000,3,2,1805,4181,1979,1,3
430000,2,1,903,479,1972,1,2
325000,2,1,780,780,1972,1,2
1210000,4,4,3177,6969,2017,1,3
681500,3,2,1234,6320,1969,2,2
700000,2,2,1595,7039,1978,2,3
780000,3,3,1595,4791,1995,2,3
965000,4,3,2717,8276,1994,3,2
920000,3,2,1401,5662,1936,1,1
1250000,5,4,3731,8764,2000,3,4
1170000,6,6,3216,5401,2021,2,2
695000,4,3,1794,1873,2013,2,2
857000,4,3,2012,2613,2017,2,2
850000,3,2,1437,10000,1968,2,4
810000,3,2,1833,6534,2000,2,3
880000,4,3,2222,6604,1991,2,2
625000,3,2,1296,6725,1966,2,2
1610000,6,4,3812,8250,2003,3,3
640000,3,2,1234,4791,1994,1,2
860000,4,2,1573,6300,1966,2,2
1125000,4,3,2644,7405,1999,2,3
930000,6,3,2840,8319,1970,2,1
1160000,5,3,2760,7784,1998,2,3
850000,4,2,1841,6534,1973,2,2
565000,3,2,1173,4007,1992,1,3
1340000,6,3,2900,9199,1972,2,2
970000,4,3,2642,8712,1994,0,3
1907000,5,4,3696,14810,1999,4,4
640000,3,2,1245,4791,1998,1,2
1760000,6,4,3734,10454,2005,3,4
720000,3,2,2394,8250,1952,1,1
785000,3,2.5,1839,3484,2013,2,4
857875,4,3,2235,7405,1973,2,2
1250000,4,3,2507,9774,1967,2,2
901000,3,2,1684,5000,1999,2,3
735000,3,2,1498,8158,1962,2,1
1086000,4,3,2460,6969,1999,2,3
535000,2,1,960,3876,1980,1,2
750000,3,2,1382,7400,1973,2,1
651500,3,2,1062,4108,1978,1,3
1140000,4,2,2346,11761,1986,2,4
1000000,4,3,2783,6098,1992,2,3
975000,4,2,1924,16117,1964,0,2
977500,2,2,1200,12632,1966,2,4
590000,3,1,1066,5924,1963,1,1
750000,4,3,2118,5227,1998,2,3
829000,3,2,1681,9147,1973,2,1
750000,4,2,1516,8058,1977,0,3
900000,3,3,2013,6098,1998,2,3
650000,3,2,1280,6577,1970,0,2
1350000,5,4,2598,10890,1990,3,2
